deduplication_key,pl_row,CSV title,type,administrative_unit,content_type,data_classifications,emory_ark,emory_rights_statements,holding_repository,institution,other_identifiers,rights_statement,system_of_record_ID,visibility,conference_name,contributors,copyright_date,creator,date_created,date_digitized,date_issued,edition,extent,content_genres,local_call_number,place_of_production,primary_language,publisher,series_title,subject_geo,subject_names,subject_topics,table_of_contents,title,uniform_title,fileset_label,preservation_master_file,service_file,intermediate_file,transcript_file,extracted,pcdm_use
rwtxr,2,Emocad,work,,http://id.loc.gov/vocabulary/resourceTypes/txt,Public,rwtxr,"The online edition of this work in the public domain, i.e., not protected by U.S. Copyright Law, has been produced by the Emory University Digital Library Publications Program.",Oxford College Library,Emory University,oclc:(OCoLC)773191176 | barcode:050000084033,http://rightsstatements.org/vocab/NoC-US/1.0/,alma:990030187270302486,Public,,"|Emory University Archives.|Emory University Academy (Oxford, Ga.)",XXXX,,XXXX,20170131,XXXX,,volumes : illustrations ; 28 cm,,,"Oxford, Georgia",eng,"",,"",,College yearbooks--Georgia--Oxford.,,Emocad. [1924],,,,,,,,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF for volume,/Yearbooks/Emory/lsdi2/ftp/050000084033/PDF/050000084033.pdf,,,,,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METS File,/Yearbooks/Emory/lsdi2/ftp/050000084033/METS/050000084033.mets.xml,,,,,Supplemental Content
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000001.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000001.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000001.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000002.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000002.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000002.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000003.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000003.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000003.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000004.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000004.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000004.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000005.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000005.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000005.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000006.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000006.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000006.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 7,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000007.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000007.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000007.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000008.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000008.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000008.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 9,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000009.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000009.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000009.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 10,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000010.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000010.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000010.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 11,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000011.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000011.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000011.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 12,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000012.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000012.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000012.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 13,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000013.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000013.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000013.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 14,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000014.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000014.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000014.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 15,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000015.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000015.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000015.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 16,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000016.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000016.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000016.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 17,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000017.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000017.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000017.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 18,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000018.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000018.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000018.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 19,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000019.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000019.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000019.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 20,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000020.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000020.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000020.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 21,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000021.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000021.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000021.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 22,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000022.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000022.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000022.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 23,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000023.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000023.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000023.xml,
rwtxr,2,Emocad,fileset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 24,/Yearbooks/Emory/lsdi2/ftp/050000084033/TIFF/00000024.tif,,,/Yearbooks/Emory/lsdi2/ftp/050000084033/OCR/00000024.txt,/Yearbooks/Emory/lsdi2/ftp/050000084033/ALTO/00000024.xml,
